企业名称,统一社会信用代码,成立年限,注册资本（统一人民币为单位）,实缴资本（统一人民币为单位）,经营状态,企业类型,组织类型,投资类型,企业规模,分支机构数量,分支机构名称,地址信息,投融资轮次,企业资质,法定代表人,注册号,组织机构代码,所属行业,经营范围,邮箱（工商信息）_x,邮箱（企业认证信息）,股东,联系电话,联系电话2,联系电话3,联系电话4,联系电话5,推荐电话
北京市朝阳区非公有制医疗机构协会,51110105771987376N,38386,,,存续,其他,社会团体,,,,无分支机构信息,北京市朝阳区十里河村1801号,无投融资信息,无特殊资质,王荣英,,,,1、开展非公有制医疗机构管理学术活动，组织重点学术课题的探讨调研、考察活动和学术交流；2、编辑出版学术期刊、书籍及信息资料；3、采取多种方式，开展继续教育、岗位培训培养非公有制医疗机构管理人才，提高非公有制医疗机构管理专业人水平；4、评选、表彰和奖励优秀非公有制医疗机构管理干部、优秀科研成果、优秀学术著作及论文。,,,,,,,,,
北京市朝阳区乐耳之声医疗器械销售有限公司,91110105MAG192YAX7,45947,5万元人民币,,存续,有限责任公司,有限责任公司,法人独资,,,无分支机构信息,,无投融资信息,无特殊资质,娄瑞卿,110105045824198,MAG192YAX,医疗用品及器材零售,一般项目：第二类医疗器械销售；电子产品销售；电池销售；电池零配件销售；日用家电零售；日用杂品销售；日用品销售；家用电器零配件销售；家具零配件销售；日用化学产品销售；消毒剂销售（不含危险化学品）；卫生用品和一次性使用医疗用品销售；第一类医疗器械销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；互联网销售（除销售需要许可的商品）；电子测量仪器销售；电子元器件零售；网络技术服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,西藏自然之声声学科技有限公司,,,,,,
北京海劲迈科医疗器械有限公司朝阳分公司,91110105MA018F0J87,38505,,,存续,有限责任公司,其他有限责任公司分公司,,,,无分支机构信息,,无投融资信息,小微企业,刘奇瑞,110105008397515,MA018F0J8,医疗用品及器材批发,销售医疗器械（只限Ⅰ类）、五金交电、机械设备、电器设备、建筑材料、金属材料、电子计算机软件、硬件、汽车配件；科技产品的技术开发、技术转让、技术服务、技术培训；信息咨询（不含中介服务）；广告设计、制作；组织文化艺术交流活动；承办展览展示。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,1392885909@qq.com,,,65586328,85790136,010-85790136,010-65586328,,
上海八鲸达烁医疗科技有限公司北京朝阳分公司,91110105MAEMY19C6D,45827,,,存续,有限责任公司,有限责任公司分公司,自然人投资或控股,,,无分支机构信息,,无投融资信息,无特殊资质,张蔚,,MAEMY19C6,批发业,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；第二类医疗器械销售；第一类医疗器械销售；网络与信息安全软件开发；互联网销售（除销售需要许可的商品）；信息系统集成服务；网络技术服务；数据处理和存储支持服务；市场营销策划；信息咨询服务（不含许可类信息咨询服务）；品牌管理；软件销售；计算机及办公设备维修；电子产品销售；橡胶制品销售；纸制品销售；针纺织品及原料销售；机械零件、零部件销售；普通机械设备安装服务；电子、机械设备维护（不含特种设备）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,,,,,,,
北京康复之家医疗用品有限公司朝阳第一分店,91110105MA0094058F,42670,,,存续,有限责任公司,有限责任公司分公司,法人独资,,,无分支机构信息,,无投融资信息,小微企业,赵丹,110105022281603,MA0094058,医疗用品及器材零售,许可项目：第三类医疗器械经营；食品销售；药品零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：第一类医疗器械销售；第一类医疗器械租赁；第二类医疗器械销售；第二类医疗器械租赁；日用百货销售；针纺织品销售；体育用品及器材零售；电子产品销售；家用电器销售；消毒剂销售（不含危险化学品）；母婴用品销售；化妆品零售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,991121311@qq.com,,,010-51291799,84670766,010-51294949,,,
北京阳光普仁医疗器械有限公司朝阳办事处,91110105MA008LHN41,42643,,,存续,有限责任公司,有限责任公司分公司,自然人投资或控股,微型企业,,无分支机构信息,北京市朝阳区朝阳北路103号金泰国益大厦1008-1009室,无投融资信息,小微企业,何辉,110105022142670,MA008LHN4,其他综合管理服务,为隶属企业提供联络服务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,2249426054@qq.com,,,01085518541,010-85518500,01085518500,,,
北京康复之家医疗用品有限公司朝阳第三分店,91110105MA0091J18U,42667,,,存续,有限责任公司,有限责任公司分公司,法人独资,,,无分支机构信息,,无投融资信息,小微企业,赵丹,110105022258189,MA0091J18,医疗用品及器材零售,许可项目：第三类医疗器械经营；农药零售；食品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：第一类医疗器械销售；第一类医疗设备租赁；第二类医疗器械销售；第二类医疗设备租赁；日用百货销售；针纺织品销售；体育用品及器材零售；电子产品销售；家用电器销售；消毒剂销售（不含危险化学品）；母婴用品销售；化妆品零售；宠物食品及用品零售；个人卫生用品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；文具用品零售；广告制作；广告发布；广告设计、代理；农副产品销售；食用农产品零售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,2106107080@qq.com,,,010-51291799,13581774292,64729623,010-64729623,,
北京康复之家医疗用品有限公司朝阳第九分店,91110105MADAHUR65K,45308,,,存续,有限责任公司,有限责任公司分公司,法人独资,,,无分支机构信息,,无投融资信息,无特殊资质,赵丹,110105038092036,MADAHUR65,医疗用品及器材零售,许可项目：第三类医疗器械经营；农药零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：第一类医疗器械销售；第一类医疗器械租赁；第二类医疗器械销售；第二类医疗器械租赁；日用百货销售；针纺织品销售；体育用品及器材零售；电子产品销售；家用电器销售；消毒剂销售（不含危险化学品）；母婴用品销售；化妆品零售；宠物食品及用品零售；个人卫生用品销售；食品销售（仅销售预包装食品）；保健食品（预包装）销售；婴幼儿配方乳粉及其他婴幼儿配方食品销售；特殊医学用途配方食品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；化工产品销售（不含许可类化工产品）；文具用品零售；广告制作；广告发布；广告设计、代理；农副产品销售；食用农产品零售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,2106107080@qq.com,,,010-51291799,,,,,
北京领医医疗美容门诊部有限公司北京朝阳分公司,91110105MAECTXH42A,45716,,,存续,有限责任公司,其他有限责任公司分公司,,,,无分支机构信息,,无投融资信息,无特殊资质,胡隐麒,,MAECTXH42,门诊部（所）,许可项目：医疗服务；生活美容服务；医疗美容服务；第三类医疗器械经营；第三类医疗器械生产；食品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：食品销售（仅销售预包装食品）；个人卫生用品销售；日用品销售；化妆品零售；第一类医疗器械销售；体育用品及器材零售；电子产品销售；劳务服务（不含劳务派遣）；企业管理咨询；会议及展览服务；组织文化艺术交流活动；社会经济咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,,,,,,,
北京市朝阳区崔各庄乡彭国涛医疗器械销售中心,92110105MA01GHXU7B,43467,,,存续,个体工商户,个体工商户,,,,无分支机构信息,,无投融资信息,小微企业,彭国涛,110105604997368,MA01GHXU7,医疗用品及器材批发,销售Ⅰ、Ⅱ类医疗器械。（执照有效至2019年03月27日）。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,,,,,,,,,
北京市朝阳区乐耳之声医疗器械销售有限公司双桥路店,91110105MAK1YGNP44,45999,,,存续,有限责任公司,有限责任公司分公司,法人独资,,,无分支机构信息,,无投融资信息,无特殊资质,陆东杰,,MAK1YGNP4,医疗用品及器材零售,一般项目：第二类医疗器械销售；电子产品销售；电池销售；电池零配件销售；日用家电零售；日用杂品销售；日用品销售；家用电器零配件销售；家具零配件销售；日用化学产品销售；卫生用品和一次性使用医疗用品销售；消毒剂销售（不含危险化学品）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；第一类医疗器械销售；互联网销售（除销售需要许可的商品）；电子测量仪器销售；网络技术服务；电子元器件零售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,,,,,,,18910205273
北京领医银泰医疗美容诊所有限公司北京朝阳分公司,91110105MACRPMA2X8,45160,,,存续,有限责任公司,有限责任公司分公司,法人独资,,,无分支机构信息,北京市朝阳区建国门外大街2号院4号楼二层201内,无投融资信息,小微企业,胡隐麒,,MACRPMA2X,理发及美容服务,许可项目：生活美容服务；医疗美容服务；食品销售；第三类医疗器械生产；第三类医疗器械经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：化妆品零售；个人卫生用品销售；日用品销售；体育用品及器材零售；第一类医疗器械销售；电子产品销售；劳务服务（不含劳务派遣）；企业管理咨询；会议及展览服务；组织文化艺术交流活动；社会经济咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,ssm@limmedicaks.com,,,18601143362,,,,,
北京市朝阳区非公有制医疗机构联合工会,81110105MCA888048B,45588,,,存续,其他,基层工会,,,,无分支机构信息,北京市朝阳区甜水园东里甲一号,无投融资信息,无特殊资质,阚旭,朝卫工【2024】组66号,,,,,,,,,,,,
北京市朝阳区乐耳之声医疗器械销售有限公司三元桥店,91110105MAK396QE17,46000,,,存续,有限责任公司,有限责任公司分公司,法人独资,,,无分支机构信息,,无投融资信息,无特殊资质,和洁,110105046351034,MAK396QE1,医疗用品及器材零售,一般项目：第二类医疗器械销售；电子产品销售；电池销售；电池零配件销售；日用家电零售；日用杂品销售；日用品销售；家用电器零配件销售；家具零配件销售；日用化学产品销售；消毒剂销售（不含危险化学品）；卫生用品和一次性使用医疗用品销售；第一类医疗器械销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；互联网销售（除销售需要许可的商品）；电子测量仪器销售；电子元器件零售；网络技术服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,,,,,,,18500877935
江苏德威兰医疗器械股份有限公司北京朝阳分公司,91110105MA01XKW81M,44162,,,存续,股份有限公司,股份有限公司分公司,上市、自然人投资或控股,微型企业,,无分支机构信息,,无投融资信息,小微企业,田明明,110105029958292,MA01XKW81,其他未列明专业技术服务业,技术开发；销售I类医疗器械、II类医疗器械。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,service@3yiyao.com,,,010-68218358,18611918550,,,,
